city_id,city_name,state,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_speed_10m_mean,relative_humidity_2m_mean
brasilia,Brasilia,DF,2021-01-01,23.1,28.8,19.6,0.3,0.3,3.0,17.4,8.0,73
brasilia,Brasilia,DF,2021-01-02,22.5,27.1,19.9,4.2,4.2,7.0,10.6,6.2,77
brasilia,Brasilia,DF,2021-01-03,22.4,28.0,18.5,9.4,9.4,6.0,16.5,7.1,76
brasilia,Brasilia,DF,2021-01-04,20.5,23.7,18.5,4.8,4.8,10.0,10.6,6.3,85
brasilia,Brasilia,DF,2021-01-05,22.9,27.0,17.8,0.0,0.0,0.0,8.0,5.0,73
brasilia,Brasilia,DF,2021-01-06,24.7,28.6,20.4,0.3,0.3,3.0,9.9,5.6,63
brasilia,Brasilia,DF,2021-01-07,23.4,27.9,20.0,0.8,0.8,3.0,11.2,6.4,75
brasilia,Brasilia,DF,2021-01-08,23.0,28.6,19.2,1.1,1.1,3.0,13.8,6.6,81
brasilia,Brasilia,DF,2021-01-09,23.7,28.0,20.0,5.7,5.7,9.0,7.3,4.9,74
brasilia,Brasilia,DF,2021-01-10,22.4,27.1,19.5,11.5,11.5,14.0,9.3,5.9,82
brasilia,Brasilia,DF,2021-01-11,22.3,26.8,18.6,8.0,8.0,7.0,14.5,7.4,83
brasilia,Brasilia,DF,2021-01-12,22.4,26.3,19.1,10.1,10.1,5.0,7.0,4.8,81
brasilia,Brasilia,DF,2021-01-13,23.2,27.5,19.4,4.4,4.4,7.0,14.0,5.4,78
brasilia,Brasilia,DF,2021-01-14,22.0,25.1,19.1,4.3,4.3,12.0,11.3,6.8,81
brasilia,Brasilia,DF,2021-01-15,22.1,25.5,18.9,4.7,4.7,13.0,14.9,7.6,81
brasilia,Brasilia,DF,2021-01-16,20.3,22.1,18.0,24.9,24.9,22.0,12.7,5.8,89
brasilia,Brasilia,DF,2021-01-17,21.7,24.9,18.6,0.7,0.7,3.0,9.3,5.0,75
brasilia,Brasilia,DF,2021-01-18,22.5,26.5,18.8,4.6,4.6,13.0,11.4,6.5,78
brasilia,Brasilia,DF,2021-01-19,22.6,27.1,17.8,0.5,0.5,4.0,12.0,6.4,70
brasilia,Brasilia,DF,2021-01-20,22.1,26.5,17.2,0.0,0.0,0.0,12.9,7.6,69
brasilia,Brasilia,DF,2021-01-21,22.9,27.4,18.6,0.0,0.0,0.0,14.2,9.8,63
brasilia,Brasilia,DF,2021-01-22,22.6,26.7,18.3,0.4,0.4,2.0,14.3,8.9,66
brasilia,Brasilia,DF,2021-01-23,22.7,27.4,17.8,0.0,0.0,0.0,13.7,9.5,64
brasilia,Brasilia,DF,2021-01-24,23.2,27.9,19.0,0.0,0.0,0.0,14.6,7.9,62
brasilia,Brasilia,DF,2021-01-25,23.2,26.8,18.4,0.3,0.3,2.0,12.1,7.0,62
brasilia,Brasilia,DF,2021-01-26,22.5,28.1,18.6,5.1,5.1,6.0,12.1,7.0,76
brasilia,Brasilia,DF,2021-01-27,22.8,26.7,18.0,0.5,0.5,3.0,13.1,6.9,71
brasilia,Brasilia,DF,2021-01-28,23.7,28.3,20.2,0.0,0.0,0.0,13.6,5.5,55
brasilia,Brasilia,DF,2021-01-29,23.7,27.9,18.6,0.0,0.0,0.0,10.7,7.0,54
brasilia,Brasilia,DF,2021-01-30,23.8,27.8,19.0,0.5,0.5,4.0,12.9,7.3,59
brasilia,Brasilia,DF,2021-01-31,24.5,28.4,20.2,0.6,0.6,6.0,8.7,4.5,60
brasilia,Brasilia,DF,2021-02-01,24.1,29.1,19.5,0.1,0.1,1.0,11.8,7.6,65
brasilia,Brasilia,DF,2021-02-02,24.0,28.7,19.4,0.7,0.7,4.0,15.2,8.7,67
brasilia,Brasilia,DF,2021-02-03,23.4,28.0,19.9,3.6,3.6,8.0,11.6,6.5,72
brasilia,Brasilia,DF,2021-02-04,22.8,28.1,19.0,12.8,12.8,12.0,10.6,3.8,76
brasilia,Brasilia,DF,2021-02-05,22.9,27.1,19.2,8.3,8.3,12.0,14.1,9.2,81
brasilia,Brasilia,DF,2021-02-06,20.7,22.1,19.2,13.2,13.2,19.0,18.5,11.9,89
brasilia,Brasilia,DF,2021-02-07,20.5,23.5,19.0,24.3,24.3,21.0,19.2,12.3,89
brasilia,Brasilia,DF,2021-02-08,20.5,24.5,18.1,19.6,19.6,22.0,14.8,8.3,87
brasilia,Brasilia,DF,2021-02-09,20.8,25.2,17.3,0.9,0.9,8.0,9.9,5.7,82
brasilia,Brasilia,DF,2021-02-10,22.3,26.0,18.4,1.5,1.5,11.0,7.5,4.3,73
brasilia,Brasilia,DF,2021-02-11,21.7,26.2,18.1,3.1,3.1,10.0,12.1,7.6,83
brasilia,Brasilia,DF,2021-02-12,21.0,24.3,18.9,9.7,9.7,16.0,10.1,5.5,88
brasilia,Brasilia,DF,2021-02-13,21.1,25.6,18.2,8.7,8.7,12.0,11.6,4.4,83
brasilia,Brasilia,DF,2021-02-14,21.5,25.9,19.5,12.6,12.6,16.0,10.1,4.3,84
brasilia,Brasilia,DF,2021-02-15,22.0,27.1,19.2,35.6,35.6,13.0,12.6,7.9,81
brasilia,Brasilia,DF,2021-02-16,21.1,25.0,19.0,10.2,10.2,16.0,14.8,7.6,87
brasilia,Brasilia,DF,2021-02-17,21.5,25.8,18.1,8.3,8.3,11.0,11.5,6.7,86
brasilia,Brasilia,DF,2021-02-18,21.8,25.9,19.2,15.5,15.5,19.0,14.0,8.5,86
brasilia,Brasilia,DF,2021-02-19,22.0,26.3,19.5,1.7,1.7,9.0,11.3,7.3,84
brasilia,Brasilia,DF,2021-02-20,21.5,25.3,18.8,7.9,7.9,15.0,14.6,7.4,85
brasilia,Brasilia,DF,2021-02-21,20.6,22.7,18.6,8.4,8.4,22.0,23.0,11.4,88
brasilia,Brasilia,DF,2021-02-22,21.5,26.0,18.4,4.7,4.7,15.0,12.2,7.3,84
brasilia,Brasilia,DF,2021-02-23,21.5,25.3,17.9,4.8,4.8,5.0,10.0,5.4,82
brasilia,Brasilia,DF,2021-02-24,21.8,26.0,18.5,13.3,13.3,8.0,11.0,5.6,82
brasilia,Brasilia,DF,2021-02-25,22.1,25.8,19.2,9.9,9.9,11.0,11.0,5.3,81
brasilia,Brasilia,DF,2021-02-26,20.6,22.7,18.3,27.9,27.9,19.0,11.1,5.6,88
brasilia,Brasilia,DF,2021-02-27,20.0,21.8,18.8,18.4,18.4,18.0,11.0,6.5,86
brasilia,Brasilia,DF,2021-02-28,19.9,22.3,18.2,12.1,12.1,19.0,14.7,8.3,87
brasilia,Brasilia,DF,2021-03-01,20.5,24.9,17.4,0.5,0.5,4.0,18.6,10.7,83
brasilia,Brasilia,DF,2021-03-02,21.2,25.0,18.1,1.0,1.0,6.0,18.5,8.7,82
brasilia,Brasilia,DF,2021-03-03,21.6,26.6,17.1,0.4,0.4,4.0,15.4,9.0,73
brasilia,Brasilia,DF,2021-03-04,22.6,26.6,18.0,0.0,0.0,0.0,10.0,6.6,67
brasilia,Brasilia,DF,2021-03-05,22.7,27.4,17.7,0.0,0.0,0.0,11.5,7.3,73
brasilia,Brasilia,DF,2021-03-06,22.3,27.5,18.3,1.9,1.9,5.0,15.6,7.6,76
brasilia,Brasilia,DF,2021-03-07,22.6,27.2,18.8,1.0,1.0,7.0,9.2,4.9,74
brasilia,Brasilia,DF,2021-03-08,21.5,26.0,18.2,11.2,11.2,12.0,14.3,5.6,82
brasilia,Brasilia,DF,2021-03-09,21.4,25.7,18.6,4.9,4.9,11.0,10.0,5.1,78
brasilia,Brasilia,DF,2021-03-10,21.2,25.2,18.9,2.8,2.8,11.0,12.1,6.3,83
brasilia,Brasilia,DF,2021-03-11,22.0,26.0,18.2,0.0,0.0,0.0,13.5,6.5,77
brasilia,Brasilia,DF,2021-03-12,21.7,26.5,18.6,6.0,6.0,8.0,13.1,4.4,83
brasilia,Brasilia,DF,2021-03-13,22.0,26.5,19.4,2.5,2.5,7.0,9.1,4.7,81
brasilia,Brasilia,DF,2021-03-14,21.2,25.6,17.6,8.0,8.0,10.0,11.1,5.4,84
brasilia,Brasilia,DF,2021-03-15,21.5,24.7,19.0,3.8,3.8,14.0,7.4,4.6,81
brasilia,Brasilia,DF,2021-03-16,21.1,23.1,19.6,7.3,7.3,14.0,7.4,3.8,83
brasilia,Brasilia,DF,2021-03-17,21.2,24.0,18.7,3.1,3.1,5.0,8.7,5.7,78
brasilia,Brasilia,DF,2021-03-18,22.1,25.1,19.2,1.3,1.3,6.0,14.4,6.2,75
brasilia,Brasilia,DF,2021-03-19,21.6,25.5,18.2,5.5,5.5,9.0,11.6,6.1,79
brasilia,Brasilia,DF,2021-03-20,21.5,25.9,17.8,2.0,2.0,8.0,14.3,7.8,79
brasilia,Brasilia,DF,2021-03-21,20.6,24.5,17.4,1.2,1.2,6.0,20.1,10.8,80
brasilia,Brasilia,DF,2021-03-22,20.9,25.8,16.9,0.1,0.1,1.0,21.3,11.2,75
brasilia,Brasilia,DF,2021-03-23,22.0,27.8,17.2,0.0,0.0,0.0,14.1,8.0,66
brasilia,Brasilia,DF,2021-03-24,21.9,27.9,16.8,0.0,0.0,0.0,14.8,9.8,66
brasilia,Brasilia,DF,2021-03-25,22.4,27.4,17.5,0.0,0.0,0.0,17.0,9.0,60
brasilia,Brasilia,DF,2021-03-26,22.7,27.6,17.9,0.0,0.0,0.0,12.1,6.1,54
brasilia,Brasilia,DF,2021-03-27,22.9,27.6,18.7,0.0,0.0,0.0,10.2,5.5,55
brasilia,Brasilia,DF,2021-03-28,24.1,29.3,20.8,0.0,0.0,0.0,9.7,5.5,49
brasilia,Brasilia,DF,2021-03-29,24.2,29.4,20.1,0.0,0.0,0.0,7.2,3.9,52
brasilia,Brasilia,DF,2021-03-30,23.2,28.2,17.2,0.0,0.0,0.0,9.1,6.2,58
