city_id,city_name,state,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_speed_10m_mean,relative_humidity_2m_mean
goiania,Goiania,GO,2021-01-01,24.1,29.5,19.8,4.5,4.5,4.0,14.0,5.8,76
goiania,Goiania,GO,2021-01-02,24.3,30.1,20.1,0.2,0.2,1.0,11.5,5.9,72
goiania,Goiania,GO,2021-01-03,24.0,28.7,19.5,2.0,2.0,3.0,17.5,7.7,72
goiania,Goiania,GO,2021-01-04,22.9,25.7,20.1,8.4,8.4,8.0,13.5,8.1,78
goiania,Goiania,GO,2021-01-05,24.1,29.6,17.8,0.0,0.0,0.0,7.6,4.4,71
goiania,Goiania,GO,2021-01-06,25.6,30.6,20.2,1.1,1.1,3.0,9.1,5.9,68
goiania,Goiania,GO,2021-01-07,24.7,30.4,21.0,5.8,5.8,8.0,16.3,6.8,77
goiania,Goiania,GO,2021-01-08,25.5,31.4,19.8,0.0,0.0,0.0,11.0,8.5,68
goiania,Goiania,GO,2021-01-09,26.3,32.0,21.5,0.4,0.4,3.0,11.2,6.4,65
goiania,Goiania,GO,2021-01-10,24.2,29.7,20.8,17.4,17.4,16.0,17.1,6.4,81
goiania,Goiania,GO,2021-01-11,23.6,29.2,20.2,6.5,6.5,8.0,13.2,6.5,83
goiania,Goiania,GO,2021-01-12,23.5,27.0,19.5,0.6,0.6,3.0,7.5,4.0,82
goiania,Goiania,GO,2021-01-13,24.3,30.5,20.2,1.2,1.2,3.0,14.8,5.2,80
goiania,Goiania,GO,2021-01-14,22.4,25.5,20.1,16.4,16.4,16.0,8.9,5.0,87
goiania,Goiania,GO,2021-01-15,24.0,28.5,21.0,3.2,3.2,15.0,12.7,6.2,80
goiania,Goiania,GO,2021-01-16,22.5,25.3,20.5,4.9,4.9,17.0,7.5,3.8,85
goiania,Goiania,GO,2021-01-17,22.5,26.4,19.6,7.3,7.3,8.0,10.0,5.3,82
goiania,Goiania,GO,2021-01-18,23.5,27.8,20.3,7.3,7.3,11.0,9.4,4.7,81
goiania,Goiania,GO,2021-01-19,23.0,28.0,19.7,10.4,10.4,9.0,10.3,4.8,82
goiania,Goiania,GO,2021-01-20,23.6,28.5,18.2,0.4,0.4,4.0,10.0,5.7,75
goiania,Goiania,GO,2021-01-21,24.6,29.6,20.0,0.2,0.2,2.0,9.9,6.7,62
goiania,Goiania,GO,2021-01-22,25.1,30.7,19.1,0.0,0.0,0.0,12.1,7.1,59
goiania,Goiania,GO,2021-01-23,25.1,30.1,19.8,0.1,0.1,1.0,8.5,5.8,60
